year,min,max,median,who
2020,13.08602,13.40054,11.09677,11.09677
2019,6.260226,8.665488,5.974242759,5.974243
2018,4.810608,18.78571,4.810608,4.455395
2017,5.850382,15.78129,4.011936,4.257796
2016,6.582148,13.85708,2.394643,2.394643
