"","name","Model","value"
"1","2020","SVM",11.0967741935484
"2","2020","SVM",11.0967741935484
"3","2020","SVM",11.0967741935484
"4","2020","SVM",11.0967741935484
"5","2020","SVM",11.0967741935484
"6","2020","SVM",11.0967741935484
"7","2020","SVM",11.0967741935484
"8","2020","SVM",11.0967741935484
"9","2020","SVM",11.0967741935484
"10","2020","SVM",10.989247311828
"11","2020","SVM",11.0967741935484
"12","2020","SVM",11.0967741935484
"13","2020","SVM",11.0967741935484
"14","2020","SVM",10.991935483871
"15","2020","SVM",11.0967741935484
"16","2020","SVM",11.0967741935484
"17","2020","SVM",10.991935483871
"18","2020","Random",13.4677419354839
"19","2020","Random",12.2284946236559
"20","2020","Random",12.7795698924731
"21","2020","Random",11.2016129032258
"22","2020","Random",12.497311827957
"23","2020","Random",12.1048387096774
"24","2020","Random",13.4677419354839
"25","2020","Random",13.4677419354839
"26","2020","Random",11.0672043010753
"27","2020","Random",13.4677419354839
"28","2020","Random",13.6344086021505
"29","2020","Random",11.2016129032258
"30","2020","Random",15.4811827956989
"31","2020","Random",13.7715053763441
"32","2020","Random",13.1182795698925
"33","2020","Random",12.2284946236559
"34","2020","Random",12.6478494623656
"35","2019","SVM",5.9742427592306
"36","2019","SVM",5.9742427592306
"37","2019","SVM",5.9742427592306
"38","2019","SVM",5.9742427592306
"39","2019","SVM",5.9742427592306
"40","2019","SVM",5.9742427592306
"41","2019","SVM",5.9742427592306
"42","2019","SVM",5.9742427592306
"43","2019","SVM",5.9742427592306
"44","2019","SVM",5.9742427592306
"45","2019","SVM",5.9742427592306
"46","2019","SVM",5.9742427592306
"47","2019","SVM",5.9742427592306
"48","2019","SVM",5.9742427592306
"49","2019","SVM",5.9742427592306
"50","2019","SVM",5.9742427592306
"51","2019","SVM",5.9742427592306
"52","2019","SVM",5.9742427592306
"53","2019","SVM",5.9742427592306
"54","2019","SVM",5.9975679858501
"55","2019","SVM",6.00497457439752
"56","2019","Random",7.66968826000442
"57","2019","Random",7.43997346893655
"58","2019","Random",5.9742427592306
"59","2019","Random",6.48220207826664
